,model,dataset,accuracy,precision,recall,F1 score,N,chunk_size
0,SVM,train,0.8261235238161527,0.8223117718824915,0.8261235238161527,0.8221620373888724,3,10
1,SVM,test,0.8235201995301761,0.8190753481285828,0.8235201995301761,0.8194524546330784,3,10
0,kNN,train,0.8602758636690564,0.8606916619841896,0.8602758636690564,0.858737681905359,3,10
1,kNN,test,0.806565934862678,0.8060227701321835,0.806565934862678,0.8043110144974517,3,10
0,decision tree,train,0.9625646736734647,0.9623901453342472,0.9625646736734647,0.9621307433076614,3,10
1,decision tree,test,0.8227487601867696,0.8207278881576945,0.8227487601867696,0.8213836617476977,3,10
0,SVM,train,0.9661144753021972,0.9659827246826553,0.9661144753021972,0.9660203171012709,3,20
1,SVM,test,0.959699778429985,0.9594941458919257,0.959699778429985,0.9595768458763535,3,20
0,kNN,train,0.9263590171921765,0.94219740007691,0.9263590171921765,0.9314614469655533,3,20
1,kNN,test,0.8803637924434184,0.9105036552685344,0.8803637924434184,0.8902862029851706,3,20
0,decision tree,train,0.9999883993410825,0.9999884165018207,0.9999883993410825,0.9999884035169724,3,20
1,decision tree,test,0.9049917056250942,0.9059094854387272,0.9049917056250942,0.9053907206982799,3,20
0,SVM,train,1.0,1.0,1.0,1.0,3,50
1,SVM,test,0.9942287056639889,0.9942478393301268,0.9942287056639889,0.9942364855701855,3,50
0,kNN,train,0.8299063252225863,0.9874755729721763,0.8299063252225863,0.8944702637689368,3,50
1,kNN,test,0.762680896725733,0.9849089571824318,0.762680896725733,0.84919827094541,3,50
0,decision tree,train,1.0,1.0,1.0,1.0,3,50
1,decision tree,test,0.9531336098141006,0.9529471308706415,0.9531336098141006,0.9530224655211671,3,50
